

"./Block/Adminhtml/Datafeedmanager/Edit.php",""

"Delete","Delete"
"Duplicate","Duplicate"
"Generate","Generate"
"Save","Save"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Categories.php",""

"Categories","Categories"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Configuration.php",""

"Attributes filters","Attributes filters"
"Categories","Categories"
"Categories url","Categories url"
"Category filter","Category filter"
"Category type","Category type"
"Configuration","Configuration"
"Description","Description"
"Filename","Filename"
"Library sample url","Library sample url"
"Library url","Library url"
"Path","Path"
"Sample report url","Sample report url"
"Sample url","Sample url"
"Store View","Store View"
"Title","Title"
"Website url","Website url"
"Xml pattern","Xml pattern"
"Need help? Did you read our Tutorial?","Need help? Did you read our Tutorial?"
"Refresh Preview","Refresh Preview"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Cron.php",""

"Cron schedule","Cron schedule"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Filters.php",""

"Filters","Filters"


"./Block/Adminhtml/Datafeedmanager/Edit/Tabs.php",""

"Data Feed Manager","Data Feed Manager"


"./Block/Adminhtml/Datafeedmanager/Grid.php",""

"Action","Action"
"Are you sure you want to delete this feed ?","Are you sure you want to delete this feed ?"
"Delete","Delete"
"Edit","Edit"
"Filename","Filename"
"Generate","Generate"
"Generate a data feed can take a while. Are you sure you want to generate it now ?","Generate a data feed can take a while. Are you sure you want to generate it now ?"
"Id","Id"
"Link","Link"
"Path","Path"
"Show Report","Show Report"
"Status","Status"
"Store","Store"
"Update","Update"
"Preview (%1 items)","Preview (%1 items)"


"./Block/Adminhtml/Datafeedmanager.php",""

"Create New Data Feed","Create New Data Feed"
"Manage Data feeds","Manage Data feeds"


"./Block/Adminhtml/Datafeedmanager/Preview.php",""

"Invalid license","Invalid license"
"Unable to generate the data feed :","Unable to generate the data feed :"


"./Block/Adminhtml/Datafeedmanager/Renderer/Status.php",""

"ERROR","ERROR"
"PROCESSING","PROCESSING"
"PENDING","PENDING"
"HOLD","HOLD"
"FAIL","FAIL"
"SUCCEED","SUCCEED"


"./Block/Adminhtml/Datafeedmanager/Sample.php",""

"Invalid license","Invalid license"


"./Controller/Adminhtml/Datafeedmanager/Delete.php",""

"The data feed has been deleted.","The data feed has been deleted."
"We can't find a data feed to delete.","We can't find a data feed to delete."


"./Controller/Adminhtml/Datafeedmanager/Edit.php",""

"Manage Data Feeds","Manage Data Feeds"
"Modify data feed : ","Modify data feed : "
"New data feed","New data feed"
"Data Feed Manager","Data Feed Manager"
"This data feed no longer exists.","This data feed no longer exists."


"./Controller/Adminhtml/Datafeedmanager/Generate.php",""

"Invalid license.","Invalid license."
"The data feed ","The data feed "
" has been generated."," has been generated."
"Unable to find a data feed to generate.","Unable to find a data feed to generate."
"Unable to generate the data feed.","Unable to generate the data feed."


"./Controller/Adminhtml/Datafeedmanager/Index.php",""

"Google Shopping Data Feeds","Google Shopping Data Feeds"
"Manage Data Feeds","Manage Data Feeds"
"Data Feed Manager","Data Feed Manager"


"./Controller/Adminhtml/Datafeedmanager/Save.php",""

"The data feed has been saved.","The data feed has been saved."
"Unable to save the data feed.","Unable to save the data feed."


"./Controller/Datafeedmanager/Generate.php",""

"The data feed ","The data feed "
" has been generated."," has been generated."
"Unable to find a data feed to generate.","Unable to find a data feed to generate."


"./Helper/Data.php",""

"Examples:","Examples:"
"items","items"
"no error detected","no error detected"
"no error detected.","no error detected."
"no report available","no report available"
