

"./Block/Adminhtml/Datafeedmanager/Edit.php",""

"Delete","Supprimer"
"Duplicate","Copier"
"Generate","Générer"
"Save","Enregistrer"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Categories.php",""

"Categories","Catégories"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Configuration.php",""

"Attributes filters","Filtres avancés"
"Categories","Catégories"
"Category filter","Filtres des catégories"
"Category type","Type de catégories"
"Configuration","Configuration"
"Description","Description"
"Filename","Nom du fichier"
"Path","Chemin du fichier"
"Store View","Vue Magasin"
"Title","Titre"
"Xml pattern","Modèle Xml"
"Website url","Url du site"
"Need help? Did you read our Tutorial?","Besoin d'aide? Avez vous lu notre tutoriel ?"
"Refresh Preview","Actualiser l'aperçu"

"Library sample url","Url exemples librairie"
"Sample report url","Url exemple rapport"
"Library url","Url librairie"
"Categories url","Url catégories"
"Sample url","Url exemple"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Cron.php",""

"Cron schedule","Tâches Cron"


"./Block/Adminhtml/Datafeedmanager/Edit/Tab/Filters.php",""

"Filters","Filtres"


"./Block/Adminhtml/Datafeedmanager/Edit/Tabs.php",""

"Data Feed Manager","Data Feed Manager"


"./Block/Adminhtml/Datafeedmanager/Grid.php",""

"Action","Action"
"Are you sure you want to delete this feed ?","Êtes-vous sûr de vouloir supprimer le flux ?"
"Delete","Supprimer"
"Edit","Éditer"
"Filename","Nom du fichier"
"Generate","Générer"
"Generate a data feed can take a while. Are you sure you want to generate it now ?","Générer un flux de données peut prendre du temps. Êtes-vous sûr de vouloir le générer maintenant ?"
"Id","Id"
"Link","Lien"
"Path","Chemin"
"Show Report","Afficher le rapport"
"Status","Statut"
"Store","Magasin"
"Update","Mise à jour"
"Preview (%1 items)","Aperçu (%1 produits)"


"./Block/Adminhtml/Datafeedmanager.php",""

"Create New Data Feed","Créer un nouveau flux de données"
"Manage Data feeds","Gérer les flux de données"


"./Block/Adminhtml/Datafeedmanager/Preview.php",""

"Invalid license","Licence Invalide"
"Unable to generate the data feed :","Impossible de générer le flux :"


"./Block/Adminhtml/Datafeedmanager/Renderer/Status.php",""

"ERROR","ERREUR"
"PROCESSING","EN COURS"
"PENDING","ATTENTE DE GENERATION"
"HOLD","EN ATTENTE"
"FAIL","ECHEC"
"SUCCEED","SUCCES"


"./Block/Adminhtml/Datafeedmanager/Sample.php",""

"Invalid license","Licence Invalide"


"./Controller/Adminhtml/Datafeedmanager/Delete.php",""

"The data feed has been deleted.","Le flux de données a été supprimé."
"We can't find a data feed to delete.","Aucun flux à supprimer."


"./Controller/Adminhtml/Datafeedmanager/Edit.php",""

"Manage Data Feeds","Gérer les flux de données"
"Modify data feed : ","Modification du flux de données : "
"New data feed","Nouveau flux de données"
"Data Feed Manager","Data Feed Manager"
"This data feed no longer exists.","Ce flux de données n'existe plus."


"./Controller/Adminhtml/Datafeedmanager/Generate.php",""

"Invalid license.","Licence invalide."
"The data feed ","Le flux de données "
" has been generated."," a été généré."
"Unable to find a data feed to generate.","Aucun flux de données à générer trouvé."
"Unable to generate the data feed.","Impossible de générer le flux de données."


"./Controller/Adminhtml/Datafeedmanager/Index.php",""

"Google Shopping Data Feeds","Flux de données Google Shopping"
"Manage Data Feeds","Gérer les flux de données"
"Data Feed Manager","Data Feed Manager"


"./Controller/Adminhtml/Datafeedmanager/Save.php",""

"The data feed has been saved.","Le flux de données a été enregistré."
"Unable to save the data feed.","Impossible d'enregistrer le flux de données."


